lang,slang,conv_def_en,conv_def,slang_definition,slang_definition_en
en,tart,An open pastry case containing a sweet or savoury filling,An open pastry case containing a sweet or savoury filling,"A person, usually female, that is a show-off or just a stupid bimbo","A person, usually female, that is a show-off or just a stupid bimbo"
en,tasty,"( of food ) having a pleasant , distinct flavour","( of food ) having a pleasant , distinct flavour","really good, attractive, or just cool","really good, attractive, or just cool"
en,tat,Make ( a decorative mat or edging ) by tying knots in thread and using a small shuttle to form lace,Make ( a decorative mat or edging ) by tying knots in thread and using a small shuttle to form lace,breast.  Variant of,breast.  Variant of
en,tax,"A compulsory contribution to state revenue , levied by the government on workers' income and business profits , or added to the cost of some goods , services , and transactions","A compulsory contribution to state revenue , levied by the government on workers' income and business profits , or added to the cost of some goods , services , and transactions",to make a person pay,to make a person pay
en,teach,Impart knowledge to or instruct ( someone ) as to how to do something,Impart knowledge to or instruct ( someone ) as to how to do something,form of address for a teacher,form of address for a teacher
en,tear,Pull ( something ) apart or to pieces with force,Pull ( something ) apart or to pieces with force,to leave quickly,to leave quickly
en,tear into,Attack verbally,Attack verbally,to aggressively criticize,to aggressively criticize
en,tele,A Fender Telecaster electric guitar,A Fender Telecaster electric guitar,a hotel,a hotel
en,ten,Equivalent to the product of five and two ; one more than nine ; 10,Equivalent to the product of five and two ; one more than nine ; 10,"a very attractive person.  A person who, on a scale of 0 to 10, is the best","a very attractive person.  A person who, on a scale of 0 to 10, is the best"
en,tender,"Showing gentleness , kindness , and affection","Showing gentleness , kindness , and affection",Very cool,Very cool
en,text,"A book or other written or printed work , regarded in terms of its content rather than its physical form","A book or other written or printed work , regarded in terms of its content rather than its physical form",to obtain information under false pretense.  From pretext,to obtain information under false pretense.  From pretext
en,textbook,A book used as a standard work for the study of a particular subject,A book used as a standard work for the study of a particular subject,quintessential; classic,quintessential; classic
en,the,Denoting one or more people or things already mentioned or assumed to be common knowledge,Denoting one or more people or things already mentioned or assumed to be common knowledge,"when emphasized, indicates that the following noun is an exemplary example","when emphasized, indicates that the following noun is an exemplary example"
en,thick,With opposite sides or surfaces that are far or relatively far apart,With opposite sides or surfaces that are far or relatively far apart,having a nice body.  Usually used towards females,having a nice body.  Usually used towards females
en,thing,"An object that one need not , cannot , or does not wish to give a specific name to","An object that one need not , cannot , or does not wish to give a specific name to",a penis,a penis
en,thinspiration,( especially in the context of anorexia nervosa ) used in reference to something or someone that serves as motivation for a person seeking to maintain a very low body weight,( especially in the context of anorexia nervosa ) used in reference to something or someone that serves as motivation for a person seeking to maintain a very low body weight,inspirational material for keeping one's self thin,inspirational material for keeping one's self thin
en,thirsty,Feeling a need to drink,Feeling a need to drink,desperate,desperate
en,thoroughbred,"( of a horse ) of pure breed , especially of a breed originating from English mares and Arab stallions and widely used as racehorses","( of a horse ) of pure breed , especially of a breed originating from English mares and Arab stallions and widely used as racehorses",a woman with a perfect physique.  Usually referring to a stripper.  The perfect 10.  A woman whose physical features are as finely toned as a race horse,a woman with a perfect physique.  Usually referring to a stripper.  The perfect 10.  A woman whose physical features are as finely toned as a race horse
en,throat,The passage which leads from the back of the mouth of a person or animal,The passage which leads from the back of the mouth of a person or animal,to forcefully penetrate a person's throat with a penis or dildo,to forcefully penetrate a person's throat with a penis or dildo
